Name	Version	Channel
fribidi.x86_64	1.0.2-1.el7_7.1	@updates
fribidi-devel.x86_64	1.0.2-1.el7_7.1	@updates
fros.noarch	1.0-2.el7	@c7-media
fuse.x86_64	2.9.2-11.el7	@c7-media
fuse-libs.x86_64	2.9.2-11.el7	@c7-media
fwupd.x86_64	1.0.8-4.el7	@c7-media
fwupdate-efi.x86_64	12-5.el7.centos	@c7-media
fwupdate-libs.x86_64	12-5.el7.centos	@c7-media
fxload.x86_64	2002_04_11-16.el7	@anaconda
gavl.x86_64	1.4.0-4.el7	@c7-media
gawk.x86_64	4.0.2-4.el7_3.1	@anaconda
gcc.x86_64	4.8.5-39.el7	@base
gcc-c++.x86_64	4.8.5-39.el7	@base
gcc-gfortran.x86_64	4.8.5-39.el7	@base
gcc-objc.x86_64	4.8.5-39.el7	@base
gcr.x86_64	3.28.0-1.el7	@c7-media
gd.x86_64	2.0.35-26.el7	@c7-media
gd-last.x86_64	2.3.0-1.el7.remi	@remi-safe
gdal.x86_64	1.11.4-3.el7	@epel
gdal-devel.x86_64	1.11.4-3.el7	@epel
gdal-libs.x86_64	1.11.4-3.el7	@epel
gdb.x86_64	7.6.1-114.el7	@c7-media
gdbm.x86_64	1.10-8.el7	@anaconda
gdbm-devel.x86_64	1.10-8.el7	@c7-media
gdisk.x86_64	0.8.10-2.el7	@c7-media
gdk-pixbuf2.x86_64	2.36.12-3.el7	@c7-media
gdk-pixbuf2-devel.x86_64	2.36.12-3.el7	@base
gdm.x86_64	1:3.28.2-9.el7	@c7-media
gedit.x86_64	2:3.28.1-1.el7	@c7-media
genisoimage.x86_64	1.1.11-25.el7	@c7-media
geoclue2.x86_64	2.4.8-1.el7	@c7-media
geoclue2-libs.x86_64	2.4.8-1.el7	@c7-media
geocode-glib.x86_64	3.26.0-2.el7	@c7-media
geoipupdate.x86_64	2.5.0-1.el7	@base
geos.x86_64	3.4.2-2.el7	@epel
geos-devel.x86_64	3.4.2-2.el7	@epel
geronimo-jms.noarch	1.1.1-19.el7	@c7-media
gettext.x86_64	0.19.8.1-3.el7	@base
gettext-common-devel.noarch	0.19.8.1-3.el7	@base
gettext-libs.x86_64	0.19.8.1-3.el7	@base
ghc-Cabal.x86_64	1.16.0-26.4.el7	@epel
ghc-HTTP.x86_64	4000.2.8-33.el7	@epel
